Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Via Signup,Chrome 123.0.0.0,,,03-04-2024 09:57:32,03-04-2024 09:58:06,33.462s,PASSED
,,,,,,,
Test Cases/Sign Up,Chrome 123.0.0.0,,,03-04-2024 09:57:33,03-04-2024 09:57:41,8.807s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:57:33,03-04-2024 09:57:35,2.471s,PASSED
"navigateToUrl(""https://thinking-tester-contact-list.herokuapp.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:57:35,03-04-2024 09:57:37,1.686s,PASSED
"click(findTestObject(""Object Repository/Contact List App/Page_Contact List App/button_Sign up""))",Chrome 123.0.0.0,,,03-04-2024 09:57:37,03-04-2024 09:57:38,1.348s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add User/input_Add User_firstName""), FirstName)",Chrome 123.0.0.0,,,03-04-2024 09:57:38,03-04-2024 09:57:39,0.760s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add User/input_Add User_lastName""), LastName)",Chrome 123.0.0.0,,,03-04-2024 09:57:39,03-04-2024 09:57:40,0.677s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add User/input_Add User_email""), Email)",Chrome 123.0.0.0,,,03-04-2024 09:57:40,03-04-2024 09:57:41,0.708s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contact List App/Page_Add User/input_Add User_password""), Password)",Chrome 123.0.0.0,,,03-04-2024 09:57:41,03-04-2024 09:57:41,0.439s,PASSED
"click(findTestObject(""Object Repository/Contact List App/Page_Add User/button_Submit""))",Chrome 123.0.0.0,,,03-04-2024 09:57:41,03-04-2024 09:57:41,0.356s,PASSED
,,,,,,,
Test Cases/Add New Contact List,Chrome 123.0.0.0,,,03-04-2024 09:57:42,03-04-2024 09:57:53,11.333s,PASSED
"click(findTestObject(""Object Repository/Contact List App/Page_My Contacts/button_Add a New Contact""))",Chrome 123.0.0.0,,,03-04-2024 09:57:42,03-04-2024 09:57:45,3.280s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add Contact/input_First Name_firstName""), FirstName)",Chrome 123.0.0.0,,,03-04-2024 09:57:45,03-04-2024 09:57:46,0.989s,PASSED
